result_3
;Отзыв;Оценка
252;"Здравствуйте! Я не однократно слышала о тональном креме Estrade СС cream satin finish и как только увидела этот крем купила, тем более я не пользуюсь плотными тональными средствами, но тон выровнять все таки хочется, а СС крем как раз лёгкий, к тому же тональный крем Estrade СС cream satin finish обладает сияющим финишем, а я обожаю эффект холеной кожи с естественным сиянием. Но тем не менее не все так однозначно в этом кремике... Бренд; Объем -Цена-Производство - Испания;ВНЕШНИЙ ВИД:Крем представлен в тюбикеС обратной стороны информация  КОНСИСТЕНЦИЯ:Густая консистенция, но легко распределяется. Хоть крем и называется СС, но по факту похож на BB крем.Estrade СС cream satin finish слишком плотный и густой для СС. ОТТЕНОК:Всего у бренда представлено 4 оттенка: 11 (фарфоровый)12 (майолика)13 (амфора)14 ( античный)Из представленных я выбрала 14 (античный), идеален для не не слишком светлой, но и не слишком смуглой кожи.  АРОМАТ:Аромат косметический, отдаленно напоминает аромат крема ""балет"")))  ОБЩАЯ ИНФОРМАЦИЯ:  идеально маскирует недостатки и выравнивает рельеф благодаря высокой пигментированности текстуры и soft-focus эффектуувлажняет, питает и поддерживает молодость кожи лицаадаптируется под тон кожиинновационный комплекс компонентов создает эффект Anti-pollution**защита кожи от загрязнений окружающей средысодержит SPF-защиту от ультрафиолета(SPF 10) ПРИМЕНЕНИЕ: наноси СС-крем спонжем, кисточкой или пальцами. Крем Estrade СС cream satin finish превосходно наносится любым способом, будь то руками, спонжем или кистью.  ЭФФЕКТ:Начинала пользоваться этим кремом летом, покрытие у Estrade СС cream satin finish действительно красивое, хорошо выравнивает тон, разглаживает, не заметен на лице, не проваливается в поры, но именно в летний период, после нанесения появлялся жирный блеск, а затем крем просто смазывался в т-зонах, и даже закрепление пудрой не помогало. Поэтому крем я отложила до осени, потому как летом, в жару это крем не подходит комбинированной коже категорически.С наступлением холодов вернулась к этому крему, но все равно стойкости нет, немного лучше с пудрой, но в теплом помещении этот крем поплывет без закрепления пудры.Поэтому мой вывод этот крем будет хорош для девушек с сухой кожей.  Спасибо за внимание!";5
253;"Приветики 👋 Девочки, данный крем для меня конечно не открытие, все таки на бьюти рынке он довольно давно, но более менее объективное мнение о нем я могу написать только сейчас, когда стала им активно пользоваться, перейдя на офисную работу (на удаленке я себя особо не украшала макияжами 🤭) 










Аллергикам также можно присмотреться к нему, крем нейтрален, не имеет запаха и не вызывает сухости, покраснений и шелушения кожи 










Мой ритуал красоты начинается с нанесения базы, для этого я использую сыворотку хотя специальная «подложка» для тональной основы у меня тоже имеется, но не сложилось 🙅‍♀️Кожа у меня не имеет видимых проблем, кроме вкраплений купероза и локальных покраснений. В принципе ее качество меня устраивает, для 36 лет вполне неплохо.  










Прыщей, неровностей, шелушений на коже нет, именно поэтому я не пользуюсь тяжелыми пластичными «гримерными» тональными кремами на каждый день.С моим типом комбинированной кожи вполне достаточно легкой основы и Fit me вполне справляется 










Наношу его точечно прямиком из тюбика. Дело привычки 










А вот разносить его по коже мне удобнее кистью, чем спонжем. У меня кисть для хайлайтера от essence. Получается экономичнее, кисть , в отличие от спонжика, не забирает часть средства в себя 










Этой же кистью затем накладываю румяшки, поэтому она такая чистая 😝 но это же честный отзыв 😀 










Тональный крем за счет своей легкой текстуры разноситься по лицу очень легко и не собирается в морщинках и не забивается в бровях 🥸 Цвет лица выравнивается, хорошо скрываются капилляры и легкие покраснения. С более глобальными покраснениями и высыпаниями он не справится  










По стойкости вполне носибелен, но стоит быть аккуратнее! Отпечатается на горловине, если будете натягивать свитер после макияжа. Но справедливости ради, отмечу , что этим грешат многие тональные крема 🧐 только поэтому снимаю одну ⭐️Для любительниц естественного легкого макияжа вполне удачный выбор по приемлемой цене 👍";4
254;"Доброго времени суток! Раньше я каждый день делала полноценный макияж. Но сейчас, как правило, ограничиваюсь всего несколькими средствами. И одно из них - это тональный крем.В сегодняшнем отзыве хочу поделиться своими впечатлениями о тональном креме Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation➣ ОБЩАЯ ИНФОРМАЦИЯ▪️Бренд - Pastel Profashion Cosmetics, Турция▪️Название - тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation▪️Объём - 30 мл▪️Срок годности - 12 месяцев после вскрытия▪️Цена - в пределах 1100 р▪️Где купить - Л'Этуаль, Золотое яблоко, ИМ Wildberries ➣ ИНФОРМАЦИЯ ПРОИЗВОДИТЕЛЯТональная основа Pastel High Coverage Foundation наряду с высокой маскирующей функцией и матирующим эффектом при регулярном использовании способствует сужению и уменьшению видимости пор.Предупреждает появление нежелательного жирного блеска. Дерматологически протестирована. ➣ УПАКОВКА / ОФОРМЛЕНИЕСредство было упаковано в прозрачную плёнку, которая и являлась защитой от первого вскрытия. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationСам флакон компактный вытянутый. На обороте размещена вся необходимая информация (состав, условия хранения итд). 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationБыл и стикер на русском языке, шрифт мелкий, но прочитать можно. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationНа дне указан номер оттенка крема. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationКрышка самая обычная, открывается без проблем, закрывается до щелчка. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationДозатор помповый. Использовать средство в таком формате удобно, нет необходимости лезть в упаковку руками. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation ➣ СОСТАВAQUA, CYCLOPENTASILOXANE, ISODECYL NEOPENTANOATE, PEG-10 DIMETHICONE, PROPYLENE GLYCOL, BUTYLENE GLYCOL, DIMETHICONE, DISTEARDIMONIUM HECTORITE, TRIMETHYLSILOXYSILICATE, PEG/PPG-18/18 DIMETHICONE, PROPYLENE CARBONATE, POLYMETHYLSILSESQUIOXANE, PHENOXYETHANOL, SODIUM CHLORIDE, STEAROXYMETHICONE/DIMETHICONE COPOLYMER, TRIETHOXYCAPRYLYLSILANE, ENANTIA CHLORANTHA BARK EXTRACT, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, OLEANOLIC ACID (+/-CI 77891, CI 77492, CI 77491, CI 77499). ➣ СПОСОБ ПРИМЕНЕНИЯНанести на кожу лица. ➣ КОНСИСТЕНЦИЯ / ОТДУШКАПо своей консистенции средство густое и однородное. Текстура плотная. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationАромат крема лёгкий косметический. Он ощущается только во время нанесения, но не раздражает. ➣ ИСХОДНЫЕ ДАННЫЕЯ обладательница возрастной кожи. Каких-то серьёзных проблем (прыщи, постакне, высыпания) нет. Но цвет лица оставляет желать лучшего. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationЕщё одной причиной, по которой я использую тональный крем являются пигментные пятна. Их не так много, но весной и летом они становятся более выраженными и портят всю картину. ➣ ОТТЕНОКУ меня тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation в оттенке 400. Линейка оттенков обширная, но на сайте Золотого яблока я насчитала всего 7.Оттенок 400 самый светлый, но он точно не подойдёт обладательницам белоснежной кожи. У этого крема тёплый подтон. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationНо справедливости ради стоить отметить, что он неплохо подстраивается под тон кожи. ➣ ВПЕЧАТЛЕНИЯ ОТ ПРИМЕНЕНИЯ / РЕЗУЛЬТАТИспользую тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation всю последнюю неделю. Наношу немного средства на сухую предварительно очищенную и подготовленную кожу. Я пробовала распределять крем пальцами, влажным спонжем, но больше всего мне понравилось нанесение кистью.Крем не полосит, не оставляет проплешин и не подчёркивает поры. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationОн здорово матирует и создаёт эффект фотошопа. Кожа с этим средством выглядит более ухоженной. Тон не окисляется, но подстраиваться под оттенок кожи, выглядит гармонично и естественно.Поверх крема отлично наносятся другие средства декоративной косметики (румяна, бронзер, хайлайтер). Кожу можно даже не припудривать, в этом нет необходимости.Крем обладает хорошей маскирующей способностью, уверена, что он здорово скроет несовершенства, покраснения итд.Если на лице есть шелушения, то средство их не сгладит, поэтому предварительно необходимо нанести какое-то питательное средство.Мне нравится макияж с тональным кремом Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation. 










Тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid FoundationСредство не выглядит как маска и не окисляется. Но через какое-то время (5-6) часов может собраться в морщинки. В этом случае мне помогают обычные матирующие салфетки, ими я удаляю излишки.Даже поздним вечером лицо не блестит, тон ровный, крем не проваливается в поры.Крем не вызвал проблем с кожей, не спровоцировал воспаления, не забил поры. ✔️ ПЛЮСЫширокая линейка оттенковподстраивается под тон кожине подчёркивает порыматированиеприятная отдушкаудобный формат ➖ МИНУСЫсамый светлый оттенок не подойдёт обладательницам белоснежной кожичерез время подчёркивает морщинкиДаже несмотря на небольшие недочёты, тональный крем Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation мне понравился. Он подойдёт для каких-то мероприятий или походов в кино / ресторан итд. На протяжении всего времени будет обеспечивать ровный тон и матирование.К покупке рекомендую!Благодарю за прочтение!";4
255;"Тональный крем находится в симпатичном тюбике, объем 30 мл. У меня оттенок 101 viory. 










Аромат у средства парфюмированный, приятный.   










Тон по консистенции жидкий из-за этого расход будет больше чем у более густых основ.   










Покрытие о у него от среднего к плотному. Хорошо перекрывает небольшие воспаления, прыщики и покраснения. Дает матовый финиш. Для сухой кожи не подойдет, будет подчеркивать шелушения. 










  










У основы розовый подтон, в процессе носки не окисляется и не рыжит.   










На моей комбинированной коже без пудры носится до 7 часов. С пудрой ношу по 12 часов. Не создает эффекта маски, на лице не чувствуется и нет ощущения липкости. При желании можно наслаивать и делать более плотное покрытие.  Для меня это хороший тон, в период, когда моя кожа переживает лучшую фазу без сильных высыпаний.";5
256;"Доброго времени суток, друзья!Тональную основу я использую каждый день. Мне важно, чтобы тон лица выглядел ровным и однородным!Сейчас активно тестирую тональную основу Pastel High Coverage Foundation. 










Наряду с высокой маскирующей функцией и матирующим эффектом при регулярном использовании тональная основа способствует сужению и уменьшению видимости пор. Предупреждает появление нежелательного жирного блеска.Сразу отмечу, что данный тон имеет матовый финиш и высокую степень покрытия. Т.е. он с легкостью скроет высыпания, покраснения. Если такая проблема на лице имеется, то можно присмотреться к этой основе.Места продаж - Золотое Яблоко, ЛэтуальЦена - 1000 рублейСтрана- ТурцияОбъём - 30 мл 










Состав:AQUA, CYCLOPENTASILOXANE, ISODECYL NEOPENTANOATE, PEG-10 DIMETHICONE, PROPYLENE GLYCOL, BUTYLENE GLYCOL, DIMETHICONE, DISTEARDIMONIUM HECTORITE, TRIMETHYLSILOXYSILICATE, PEG/PPG-18/18 DIMETHICONE, PROPYLENE CARBONATE, POLYMETHYLSILSESQUIOXANE, PHENOXYETHANOL, SODIUM CHLORIDE, STEAROXYMETHICONE/DIMETHICONE COPOLYMER, TRIETHOXYCAPRYLYLSILANE, ENANTIA CHLORANTHA BARK EXTRACT, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, OLEANOLIC ACID (+/-CI 77891, CI 77492, CI 77491, CI 77499).Флакон у тонального крема красивый, в стильном дизайне, оснащен помпой. Обычно, мне хватает пару нажатий на дозатор. 










Текстура достаточно плотная, отдушка есть, но она быстро выветривается. Лучше всего распределять эту основу влажным спонжем. Так она ложится более естественно. Кистью покрытие получается более плотным и может немного полосить.У меня самый светлый оттенок - № 400. Этот оттенок самый светлый в линейке. Но на деле, он с желтым подтоном и совсем светленьким девушкам вряд ли подойдет. 










«Схватывается» тон на лице быстро, он фиксируется и благодаря этому не отпечатывается на телефоне. Стойкость у него хорошая – весь день держится! С этим тоном можно даже не использовать пудру. Но у меня есть замечания к нему! 










Во-первых, тон на лице заметен. А во-вторых, он дает ощутимое матирование, и кожа выглядит из-за этого не совсем так, как мне хотелось бы. Я люблю, когда кожа выглядит живой, сияющей.Я могу рекомендовать этот тон тем девушкам, у кого жирный тип кожи, с проблемами в виде высыпаний и акне. Он действительно перекроет все недостатки. При этом на коже тональный крем лежит комфортно! 










Забивает ли крем поры? Если проводить процедуру демакияжа качественно, использовать гидрофильное масло, то никаких проблем не будет.Я использую тональную основу Pastel High Coverage Foundation в те дни, когда мне хочется замаскировать явные несовершенства (в определенный период цикла выскакивают прыщики). В остальное время предпочитаю легкие флюиды и увлажняющие тональные кремы.Из преимуществ Pastel Profashion Cosmetics Hi Corrector High Coverage Liquid Foundation выделю:Способность скрывать несовершенстваБыструю фиксациюПредотвращение жирного блеска в Т-зонеУдобный флакон и красивый дизайнТон не отпечатываетсяНедостатки тоже имеются:Тональная основа заметна на лицеМатирование «наглухо»В целом, тональная основа неплохая. Я ее оставляю в своей косметичке. А вам перед покупкой рекомендую ее потестировать!Всем отличного настроения! И до скорых встреч!";4
257;Когда выбирала, долго сомневалась, какой приобрести. Потому что бежевого тонального крема на день выбора было шесть разновидностей. Я остановилась на золотистом и не прогадала. К цвету моей кожи подошел. По стоимости меня вполне устроило. За 50 мл хорошая цена. Думала, если не понравится, будет не так обидно за большие уплаченные деньги. Но по качеству крема я осталась очень даже удовлетворена. Эта тоналка не растекается по руке. Наношу на лицо спонжем. Крем легкий, приятный при нанесении. Поры не забивает. Но при этом замечательно маскирует недостатки кожи. Не создает впечатление маски, надетой на лицо. Смотрится естественно. Чувствуется, что кожа дышит через крем. Понравилось и то, что содержит защиту от ультрафиолета. SPF18.также в составе средства есть витамины A и F. Пока я весь день под тональным кремом прячусь, он питает и увлажняет мое лицо. Запах косметический, приятный, легкий, при нанесении совсем исчезает. В течение дня не скатывается. Как-то поэкспериментировала и использовала этот тональный крем вместо консилера под глазами. В принципе, при большой надобности может заменить и его. Но все же предпочтительнее специальное средство. Этот крем Галант-косметик немного матирующий. Кожа после него не блестит. Так что кто привык пользоваться еще и пудрой сверху, здесь можно обойтись без нее. Вечером удаляю тональный крем с лица легко. Я привыкла это делать мицеллярной водой, средства на лице не остается. При использовании сделала вывод, что косметика по бюджетным ценам – это не всегда плохо.;5
258;"Этот тональный крем я купила в одном корейском магазинчике, так как была в полной растерянности. Тональный крем, который использовала я, перестали выпускать. Несколько раз я делала попытки найти что-то подходящее на просторах онлайн магазинов, но на свой страх и риск заказывать непонятно что мне не хотелось.Из главных моих запросов было то, что цвет должен быть очень светлый, не желтить.А если будет подходить жирной коже, то вообще идеально.Из немногих средств, которые мне показали, приглянулась только эта баночка. 










 










Купила я тональный крем за 1990 рублей.К слову, на всяких озонах и вайлдберрисах я эту фирму не нашла. Вообще ничего. Хотела и цены сравнить, и всё-таки мне проще заказать в какой-нибудь пункт рядом с домом, чем выделять время для похода в магазин.На каком-то сомнительном сайте я нашла его за 1450 рублей, но заказывать на неизвестных и непроверенных сайтах я как-то не рискую.Итак, тональный крем, как я и хотела, оттенка ""слоновая кость"", очень светлый, на коже не даёт жёлтого оттенка.Тонпльник не очень плотный, несовершенства кожи перекрывает со второго нанесения. Не полностью перекрывает, однако результат меня устраивает.Кожу не жирнит, эффекта маски не создаёт.Производитель обещает нам ""шелковый финиш"". С этим соглашусь, по итогу макияж выглядит отлично. 










 










По расходу: пока сложно говорить, но я пользуюсь уже месяц, пока даже не видно, какое количество использовано.Единственное, я переживаю о том, как буду собирать тональный крем, когда его будет мало для того, чтобы использовать дозатор, но ещё много, чтобы просто выбросить.Из минусов: мне не нравится носик у дозатора. При использовании тональник забивается под носик, из-под которого достать средство можно только спонжем или салфеткой.Ну и его не так легко найти, кроме магазинов. Посмотрю по расходу, если быстро израсходуется, то буду искать другие варианты. Несмотря на это, порекомендовать тональный крем всё-таки могу, он неплох. Обзор на другой тональник, который я больше не покупаю";5
259;"Всем доброго времени суток! Мой опыт использования тонального крема Eveline Botanic Expert Tea Tree насчитывает более года, причем я пользовалась им как в летнее время, так и в зимние холода. Приобрести тональный крем можно как в розничных магазинах (Подружка, Магнит Косметик), так и в маркетплейсах (Ozon, Вайлдберриз). Я покупала его по цене 200 рублей, иногда он стоит еще дешевле.  










Объем тонального крема 30 мл. Упаковка качественная, не ломается и не гнется при использовании. Производительно указывает, что продукт одержит масло чайного дерева, витамин Е, SPF 10, что не может не радовать потребителей. Также крем не тестируется на животных и имеет веганскую формулу. 










Если не учитывать бюджетную стоимость продукта, его главным достоинством является красный матовый финиш. Рассмотрим другие преимущества тонального крема Eveline Botanic Expert Tea Tree:приятный аромат;жидкая консистенция;удобен в нанесении;не забивается в поры;выравнивает тон. Тональный крем не скроет серьезные воспаления, но его можно наслаивать и он отлично сочетается с консилерами.  










Из недостатков стоит выделить большой расход тонального крема.Важный нюанс - тональный крем имеет желтый подтон, возможно не подойдет очень светлым девушкам. Но моей светлой коже подошел, особенно красиво смотрится с учетом летнего загара. Итак, я точно куплю снова тональный крем от Eveline!";5
260;"Всем привет, на связи Надя 👩🏻Корейский производитель всегда радует своих пользователей хорошей косметикой и на этот раз смог удивить - тональным кремом с коллагеном ""Ultra X10 Cover Up Collagen Foundation"" Spf 50+Упаковка сразу привлекает внимание, голографический кружочек, в котором ты можешь увидеть своё отражение 🪞. Мимо точно не пройдёшь, дизайн привлекает внимание . Производитель - Южная Корея Объём - 100 gТон - 21 Тип - увлажняющий крем с SPF 50+Цена - 800 рублей  










На обратной стороне имеется наклейка с описанием от магазина. Это единственное описание на русском языке, считаю это плюсом. Также есть штрихкод.  










Сам тюбик прозрачный, так что вы с лёгкостью сможете увидеть тон и количество оставшегося крема. Дозатор крема закрыт крышечкой, которая исполнена в цвет голографической вставки, под стать самой упаковке.  










По периметру флакона информативная наклейка с описанием и составом , но если вы не знаете языка, то вряд ли, что-то поймёте и тут спасёт наклейка от магазина на картонной упаковке из под крема . 










 Дозатор удобный в использование, не забивается при выдавливание, не течёт и не плюётся. Но при каждом использование рекомендую протирать дозатор ватным диском. 










Описание : Увлажняющий тональный крем создаёт идеальное ровное и стойкое покрытие, выравнивает цвет лица, придает ему сияние и свежесть. SPF 50 обеспечивает еще больше защиты от вредного излучения ультрафиолета и защищает Вас на целый день. Благодаря гидролизованному коллагену в составе средство насыщает кожу влагой на клеточном уровне, повышая ее эластичность и упругость, укрепляет тургор кожи. Тональный крем имеет высоко пигментированную текстуру, которая подстраивается под тон Вашей кожи, перекрывает несовершенства кожи без эффекта маски, не подчеркивая шелушения, не забивая поры и не провоцируя жирного блеска.Тон я выбрала под номером 21.У производителя предоставлено 2 оттенка, бежевый и светло - бежевый.В лето под загорелую кожу, 21 тон будет идеально подходить. Моя кожа комбинированная, склонна к шелушению, имеются неровности кожи и пигментные пятна, ну и куча недостатков которые нужно скрыть. Честно признаться, из дома без макияжа не выхожу и те кому повезло с кожей и ровным тоном лица, я завидую вам белой завистью ☺️Подготавливаю кожу : использую тоник, увлажняющий крем или гель, затем спонжем наношу тональную основу, тут вы сами решаете какая плотность вам необходима. Крем обладает высоким SPF и в солнечную погоду - будет спасением .Enough имеет сероватый оттенок, но через время как по волшебной палочке цвет подстраиваться под тон вашей кожи. Не блестит, но и не матирует, что-то между . Если есть проблемные участки, советую наслаивать крем, либо перед его нанесением используйте консиллер. 










Крем по консистенции гелевый, капелька стоит и не стекает. На фото выше вы можете увидеть какая плотность и цвет, но повторюсь, что через некоторое время сероватый оттенок исчезает и сливается с основным цветом вашего тела ) . Не окисляется и не рыжеет.Тон средней плотности, не скатывается. Отдушка парфюмированая , но не бьет в нос, быстро улетучивается во время покрытия.И как же я вас оставлю без фото до и после , покажу как тон лежит в один и с наслоением два этапа.На фото видно, что кожа имеет дефекты, мелкие прыщики. 










Фото без макияжа Что по поводу аллергии, извечный мой вопрос 😁Раздражения не выявлено, тест на аллергию пройден ✅ На фото предоставлено нанесение в один слой ⬇️ 










Нанесение в один слой Как видно на фото выше, текстура легкая и ровно ложится , подойдёт для лёгкого дневного макияжа .На данном фото, спонжем я наслоила второй раз, при детальном осмотре видно, что поры заметны, но они не забиты, в морщинки тональная основа не провалилась, нет ощущение маски и утяжеления на лице. Все так, как нужно 👍  










Нанесение в два слоя Так как не остаётся липкости, пудрой не фиксирую и оставляю так как есть.Обещанное увлажнение от производителя получила, для возрастной кожи крем подходит.Убираю макияж пенкой или гелем для умывание.Не знаю как себя будет вести на жирной коже, возможно из-за увлажнения будет проявляется блеск, но тут в помощь можно использовать пудру.Мне понравился крем, советую и вам. ❤️Пока-пока ✌🏻";5
261;"Всем огромный привет и отличного настроения) Найти свое идеальное средство трудно. У меня в списке самых трудных в этом плане товарищей лидируют тональные средства.Почему? Да потому что у меня жирная, просто очень ЖИРНАЯ кожа. Для нее все либо слишком липко, либо слишком жирно, либо слишком сухо. По итогу либо я хожу счастливая с лицом, на которое все липнет — и, как итог, это все дело сползает, проваливается в поры и исчезает (опять же пятнами) через пару часов. Либо это худо-бедно держится, но проваливается в поры и может залипать и также неровно сходить. 










Revlon 24 Hr. Colorstay отзывНет, есть конечно, у меня фавориты, которые хоть и не идеальные в моем понимании, но очень и очень хороши. Это, например, вот эти товарищи:Тональная основа в сухом варианте, Тончайшее легкое покрытие для жирнокожих, Идеальный тон за 170 рублей для любого (да-да, для любого) типа кожи. Но около полугода назад я попробовала средство после которого моя жизнь больше не будет прежней. Средство это в рекламе не нуждается, уже больше 5 лет точно о нем говорят все, кому не лень. И я, гуляя в очередной раз по Золотому Яблоку и увидев его то ли за 400 то ли 450 руб. (вместо почти 1 000 руб.) решила, что он просто обязан стать моим. И он стал) Место покупки: Золотое Яблоко.Стоимость: около 400 руб. УпаковкаМоя любимая помпа. Помпа — это залог того, что средство максимально долго сохранится. Но она может быть коварной и плеваться тоном на дальние дистанции. В остальном она работает отлично - не подтекает и не заедает. 










Revlon 24 Hr. Colorstay отзывСам же флакон стеклянный, что не может не радовать и не восхищать в бюджетных средствах. Единственная информация на русском на упаковке: 










 Revlon 24 Hr. Colorstay для жирной кожи отзывАромат у тона отсутствует, что опять же скорее плюс. ТекстураОчень плотная, муссовая и суховатая. Крем лежит плотно, одной «кучкой», не растекается. При выдавливании тон лежит спокойно кучкой на руке, даже и не думая стекать.По ощущениям крем будет приятен именно для жирной кожи — он как бы «суховат», если можно так выразится в отношении средства в жидкой форме. 










 Revlon 24 Hr. Colorstay для жирной кожи отзывА это с 85% вероятностью означает то, что если у вас сухая или нормальная кожа и вы по каким-то причинам купили тон для жирнокожиков, то вам нужно увлажнять лицо как не в себя. И, желательно, дополнительно отшелушить кожу.Жирной коже увлажнение не помешает, хотя бы по двум простым причинам: 1) увлажнение нужно всем и всегда, 2) тон будет легче распределить. ОттенокПросто прелесть — идеальное попадание в тон кожи. 










 Revlon 24 Hr. Colorstay для жирной кожи отзывНикаких границ между лицом и шеей. Не окисляется! 










 Revlon 24 Hr. Colorstay для жирной кожи отзывНанесениеТолько влажный спонж. Даже не буду предлагать туго набитую кисть или, не дай Боже, пальцами — вы просто замучаетесь. В то время как по увлажненном лицу влажным спонжем тон распределется просто великолепно и быстро. Не полосит, не пятнит. ПокрытиеПлотное, ближе к среднему. Я так странно написала по той причине, что если щедро бахнуть на лицо, то крем ляжет плотной маской.Фото кожи без макияжа: 










 Revlon 24 Hr. Colorstay для жирной кожи отзывС тональным средством: 










 Revlon 24 Hr. Colorstay для жирной кожи отзывА если взять вот столько и распределить влажным спонжем — то он перекроет все недостатки: прыщи, синяки, покраснения, выровнит цвет лица, но при этом будет смотреться «естественно матовым». Да, благодаря этому крему я наконец-то поняла, что такое «естественно матовое покрытие»: 










 Revlon 24 Hr. Colorstay для жирной кожи отзывАбсолютно матовое. НО! Хотя эта формула давно на рынке, крем каким-то чудом не делает из вашего лица гипсовую маску. То есть он и сейчас способен не только конкурировать со многими средствами, но и дать им фору. То есть ваше лицо «естественно матовое» - без блеска, но и без эффекта маски.Если наносить влажным спонжем или кистью, то одно нажатие помпы с лихвой хватит для покрытия всего лица и области под глазами.При желании можно растянуть и сделать его тоньше. С ним мне даже не нужен корректор в тяжелые дни. На подсыхающих воспалениях, как и все будет кучковаться и обозначать их — так делают все тональные средства, от этого чуда тоже не ждите. Органолептические свойстваКрем вообще никак не ощущается на лице и никак не отягощает вашу жизнь в процессе носки. Не создает парникового эффекта, не провоцирует излишне себовыделение (впрочем, матирует мою кожу он совсем ненадолго, но так со всеми тональными средствами на мне). В общем, крем ведет себя как красавчик.Поры не забивает, кожу не высушивает! СтойкостьКонечно, 24 часа он не выдержит, как и любое средство, особенно на жирной коже, так как кожное сало способно растворить все — водо/пото/суперстойкую косметику. На менее жирной коже будет держаться как прибитый.Фото в полном макияже: 










 Revlon 24 Hr. Colorstay для жирной кожи отзывПрекрасно держится весь день. У меня сходит немного с носа, но не до конца. Но лоб и нос у меня ну очень жирные и я постоянно тру их салфетками — тут вообще ничего не выдержит.На одежде и телефоне отпечатывается, как и все тональные средства на мне.В остальном прекрасно держится лаже на восхвалениях. Это действительность один из самых стойких тональных кремов.В процессе носки не делает лицо серым, уставшим, не забивается в морщинки и поры. Если и сходит, то делает это максимально незаметно. В течение дня я промакиваю лицо салфеткой и припудриваю пудрой — крем не «возражает», не конфликтует. Как в носкеКрем податливый, пластичный, хорошо «прилипает к лицу», поры и рельеф не подчеркивает, в морщинки и складочки не забивается.Крем совершенно не жирный и не липкий. Кожу не стягивает и на лице не ощущается совсем. Не утяжеляет, не делает лицо «уставшим». В течение дня не образует пятен на лице (ну разве что вы не любите мусолить лицо, тереть его в определенных местах и при этом вы подобрали не свой оттенок). Я постоянно себя хватаю за подбородок, тру нос, опираюсь ладонями о щеки. Да, покрытие подстирается, но пятнами не уходит. Шелушения не подчеркивает (если вы влажниили лицо и от вас кусками не отваливается кожа). Мелкие дефекты также не подчеркивает и не обозначает. 










 Revlon 24 Hr. Colorstay для жирной кожи отзывСамое главное, что этот крем единственный, который меньше всех отпечатывается на телефоне и одежде ( на мне так делает все, даже сухие текстуры). Но обычно я половину макияжа оставляю на экране телефона, с этим просто минимум.В общем, этот крем даже на супер жирной коже лежит идеально весь день. Он очень цепкий, при этом дает такое красивое, ровное, гладкое покрытие без эффекта гипсовой маски. Если вы обладаете минимальными навыками в макияже и подберете свой цвет, то я вас уверяю, будет почти невозможно различить его на вашем лице. ДемакияжПрекрасно удаляется любо гидрофилкой или мицелляркой. Потом я досмываю все своим средством для умывания и все, никаких вопросов.Поры не забивает, появление прыщей не провоцирует. ВыводЛюкс, просто люкс. Ну настолько красивый, надежный и беспроблемный крем просто надо умудриться придумать. И это при том, что крем очень давно на рынке и по идее имеет «устаревшую» формулу, без учета новых разработок. При этом он просто прекрасен и заткнет за пояс большинство новомодных кремов от 300 рублей до 3000 руб.";5
