,Класс,Текст
107,0,этот тональный крем очень популярный оказывается хотя о его существовании я узнала не так давно я искала замену своему любимому матовому и нашла информацию о том что ланком является чуть ли не аналогом диор поэтому долго в выборе не сомневалась и купила его флакон довольно увесистые выполнен из матового стекла крышка сверху украшена эмблемой бренда мой тональный крем в оттенке еще в флаконе он показался мне светловат но я все равно его оставила и оставила забегая вперёд не зря а всё дел в том что крем очень сильно окисляется на коже и после нанесения заметно темнеет зимой я конечно была значительно светлее но потом когда прихватила весенний загар начала смешивать его с сияющем увлажняющим кремом другой более бюджетной марки и результат от этого смешивания мне нравился даже больше ланком слева гуще крем я покупала вслепую без затеста в магазине вот так поверив отзывам в чистом виде он довольно густой капля держит форму но при этом хорошо распределяется если правильно увлажнить кожу я наношу тональный крем с помощью спонжа вариант с кистью мне кажется получается довольно плотный и больше подходит для вечера крашусь я довольно редко для дневного макияжа этот крем не совсем то что я хотела у меня сухая кожа если на коже есть шелушение или крем их подчеркнёт при этом для того чтобы он перекрыл его нужно довольно плотно нанести а я предпочитаю более тонкое нанесение чтобы не перегружать при дневном макияже в солнечные дни это очень заметно диор в этом плане был более жидким и хорошо разносился по лицу у меня получался матовый финиш но при этом я все закрепляла сияющий пудрой от фото выше тональный крем в чистом виде ниже будет фотография где я не нанесла тон смешанный с сияющим тональным от другой марки темнее оттенка этот вариант мне нравится больше дело конечно вкуса помимо эстетических нюансов ощущения после нанесения этого крема такое будто он слегка подсушивает кожу я чувствую что на мне тонна макияжа присутствует ещё липкость спустя несколько часов не очень приятный момент особенно в жаркое время года оттенок подобрать с этим тональным довольно сложно он окисляется тона на в конце концов я пришла к решению его продать выставила на авито и буквально за несколько дней у меня его купили было очень много просмотров по объявлению я так понимаю что крем довольно популярный себе же на лето решила приобрести более лёгкий вариант как это бывает не всегда то что подходит одним подойдёт но не попробовав не узнаешь
111,0,изначально я знала что этот тон очень плотный и не ждала от него какого либо естественного вида но даже при таких минимальных ожиданиях реальность меня почему мы все живые люди у которых есть мимика мы улыбаемся хмурим лоб и так далее но с этим тоном подчеркиваются абсолютно все мимические морщинки даже если вам казалось что у вас молодая свежая и не такая уж плохая кожа вы удивитесь во что она превращается с спорю возможно этот тон классный для девочек которым нужен макияж на выступления какие то важные мероприятия и что то такое но для обычной жизни поверьте он не и самое ужасное я покрылась прыщами спустя неделю меня такого не было никогда честно сказать от тона такой ценовой категории я этого вообще не ожидала прыщи были ужасные болючие и появлялись даже там где их никогда не было весь лоб щёки подбородок и шея даже при достойном очищении такие вот сюрпризы появлялись каждый осторожны советую сначала попросить пробник и попользоваться пару дней чтобы понять ваше это средство или же нет
114,0,всем добрый день не так давно на просторах тик ток в видео обзорах увидела этот тональный крем девушка делала макияж бюджетными брендами одним из которых был бренд это российский бренд декоративной косметики основан он был в году продукция торговой марки ориентирована на средний и низкий ценовой сегмент в ассортименте представлены карандаши для глаз туши тени румяна бальзамы помады и блески для губ лаки для ногтей и я не поклонник этого бренда и их косметики толком практически никакими средствами вообще не пользовалась но эффект в видео обзоре меня так поразил кожа была слегка влажная рельеф ровный поры как будто обработали затиркой я не удержалась и решила испробовать этот тональный крем подумала была не была не подойдет выброшу выглядит это чудо вот так стоимость и место покупкиместо покупки вайлдберриз стоимость тюбика составила желании крем можно также приобрести золотое яблокоозонрив гошвнешний вид внешний вид не притязательный в сине бежевой гамме с надписью бренда и серии тонального крема упаковка выполнена из пластика с завинчивающейся крышкой крем был запечатан фольгой но немного вытек с простенький и бюджетный вариант упаковки но конечно же другого я не ожидала но не в этом суть рассмотрим консистенцию несмотря на то что я выбрала один из самых светлых оттенков все равно выглядит темновато немного отливает розовым жидкая не густая без ярко выраженных запахов характеристикипроизводство россиябренд млтип для всех типов сливочныйсрок годности месяцев русском вода циклопентасилоксан каприлметикон пропиленгликоль цетиловый диметикон изододекан и триметилсилоксисиликат полипропилсилсесквиоксан и изододекан перекрестный полимер циклопентасилоксана и диметикона циклопентасилоксан и диметикон хлорид натрия диоксид кремния диметилсилилат глицерин алкилбензоат бентонит стреаралкония феноксиэтанол гидантоин слюда парфюмированная вода на моей памяти это худший состав из всех косметических продуктов что у меня были в одном тюбике есть все и силиконы и пэг и диоксид и результат честно первый и последний раз я купила данный крем и сейчас поподробнее о плюсах и недостатках спонжем он распределяется очень легко ложится тонким слоем это несомненный плюс крема очень не плохая в течении часов держится к концу дня выглядит неплохо нанесения крема кожа становится очень липкая что даже не по себе в общем финиш влажный липкий кстати влажность остается на протяжении всей так как пудрой я не пользуюсь пришлось привыкать сожалению тональник проваливается в поры и подчеркивает все несовершенства такие как морщины носогубки раз на период использования крема мне обсыпало кожу лица воспалениями какие то мелкие несовершенства крем перекрывает и частично сглаживает рельеф кожи но видимые крупные ни в какую один недостаток так это то что крем окисливается через некоторое время после нанесения и тон смотрится темнее чем был изначально итог не рекоменду к покупке этот крем и вот почему очень липкий финиш если не закреплять пудрой перепачкает все подходит для летане все перекрывает оставляет жирный блескплохой камедогенный состав тональный крем точно не скрывает поры а очень даже хорошо в них проваливается если есть носогубки то он их усилит и подчеркнет если раньше вы не пробовали тональный крем то определено этого делать не нужно средний продукт низкого качества относительно состава
116,0,не понимаю восторженных отзывов на этот тональный крем купила его по совету блогеров на ютубе и меня самый светлый тон который мало того что страшно желтит и окисляется через некоторое время на лице так ещё и в поры проваливается и все мимические морщинки подчеркнул фото прилагаю с ним я выгляжу сразу уж как я кожу перед нанесением не увлажняла и не подготавливала всё равно эффект один и тот же а именно эффект старушки хоть с базой хоть без базы всё тщетно хотя туба сама удобная удобно дозировать продукт к упаковке у меня нареканий нет но сам тон мне не понравился к слову по срокам годности всё в норме к покупке не советую и это самый светлый тон мда уж видно насколько тон отличается от моей кожи девушкам с белой кожей точно не подойдёт туба удобная это единственный плюс у этого крема все поры и подчеркнул
121,0,данный тональный крем не обеспечил достаточное увлажнение моей коже несмотря на то что он назван он не давал ощущения комфорта и не увлажнял мою кожу как я ожидала моя кожа выглядела сухой и нездоровой после применения этого покрытие этого тонального крема было неравномерным и неестественным он не смешивался хорошо с моей кожей оставлял следы и пятна попытки распределить его равномерно приводили только к более тусклому и неестественному виду моего того я был разочарована уровнем защиты от солнца предоставляемым этим тональным кремом в наше время считается недостаточным для должной защиты от вредного воздействия солнечных лучей
132,0,часто использую тональное средство для повседневного макияжа так как моя кожа далека от идеальной а тональный крем все же делает ее лучше еще и жирный блеск быстро проявляется его мне тоже хочется скрыть для теплой погоды и лета я решила взять тональный крем совершенное слияние выбирала его по описанию и отзывам многие остались довольны приобретением тональный крем совершенное слияние цена руб без скидок я купила за руб часть оплатив накопленными покупки летуальобъем количество оттенков общая информациятон в стеклянном прозрачном флаконе визуально можно и до покупки понять оттенок смотрится он одинаково что в флаконе что на коже это облегчает выбор необходимого тона я его даже без тестера приобрела на обороте описание средства все по существу громких обещаний нет и в принципе положительные моменты все соответствуют действительности на колпачке указан оттенок состав имеется дозатор изначально показался удобным но в процессе применения отметила и недостатки иногда плюётся и мелкие капли могут в стороны брызгать также часть средства вокруг носика всегда вытекает и при закрывании пачкает крышку после каждого применения тщательно необходимо убирать излишки средства тесктура и запахпо текстуре жидковатый не маслянистый не чувствуется силиконов однородный не отслаивается хорошо распределяется как на подготовленную кожу так и без дополнительного увлажнения после нанесения не стягивает кожу и дискомфорта нет не ощущается оттенок не ощущается даже если прям принюхиваться для меня это плюс так как порой запах со временем меняется да и он может быть специфичным понравилось что в ассортименте множество различных оттенков я выбрала оттенок он имеет нейтральный подтон нейтральные оттенки обозначаются буквой оттенок достаточно светлый естественный очень четко подстраивается под тон кожи выглядит натурально и естественно но при условии что он нанесен тонким слоем и хорошо растушеван финиш матовый без сияния блеска но при этом не лежит тяжелой маской оттенок он все равно желтит сильно с ним легко переборщить и будут видны границы после растушевки все же подстраивается под тон кожи и нет желтизны послеприменениетон капризный в нанесении он очень сильно впитывается в спонжик пробовала разные но все равно отметила повышенный расход средства для нанесения я использую влажный спонж только таким способом у меня получается его равномерно распределить и сделать его незаметным на коже пальцами бесполезно распределять ложится толстым слоем и смотрится ужасно будто желтушная кожа кисть для тона я не люблю использовать и не пробовала наношу тон на подготовленную кожу для увлажнения использую либо дневной крем с легкой текстурой либо после тона легко очищается не остается жирности маслянистости вымывается легко обычным и результатыу меня жирная кожа с различными недостатками в виде черных точек различных прыщиков покраснений также есть уже морщинки не радует и цвет тонального крема я прежде всего жду выравнивание тона кожи чтобы цвет был более приятный и здоровый чтобы он не старил не выглядел неестественно был стойким и надолго убирал жирный блеск люблю матовую кожу без сальной крем совершенное слияние для меня оказался средненьким без годный но со своими особенностями и так выглядит моя кожа без тонального средства после умывания и увлажнения дои после нанесения тонального средства выравнивает отлично действительно подстраивается под тон кожи выглядит незаметным но при этом улучшает цвет лица выравнивает убирает жирность матирует и в целом смотрится хорошо главное не переборщить с количеством тона иначе будет сильно желтить темные круги под глазами немного маскирует и делает менее заметными а вот прыщики почти не скрывает они заметны в поры не проваливается черные точки скрывает посленачала я использовать тон когда лечила кожу от акне и у меня была кожа обезвожена и были незначительные шелушения и тон я по необходимости все равно использовала так вот он очень сильно подчеркивает шелушения смотрится это безобразно поэтому явно не для сухой кожи подчеркивает шелушенияу меня жирная кожа в частности с сильным жирным блеском и с этим тоном лоб очень быстро начинает блестеть тон скатывается пачкается на вечеру кожа вот так выглядит лоб прям сальный хотя я все равно блеск убирала в течение дня салфетками как итог тон на лбу просто поплыл и кожа выглядит отечной к вечеруна щеках лучше выглядит но все равно оттенок меняется поры уже заметны к вечеру по моим наблюдениям он хорошо смотрится только часа дальше уже весь макияж насмарку к вечерутакже есть у него еще одна особенность его нельзя поверх припудривать пудра с него просто отслаивается спустя пару часов и появляются меня было больше ожиданий часто покупаю тональные средства и столько недостатков впервые со временем конечно привыкла к тону вполне носибельный но не для работы использую его когда нужно ненадолго стойкости он одинаково держится на моей коже что в холодную погоду что в жаркую других неприятных последствий я не отметила он кожу не портит не провоцирует появления высыпаний не появилось больше черных его легко специальных средств для демакияжа не использую достаточно геля для умывания смывается полностью в поры не забивается тональный крем совершенное слияние на мой взгляд тональный крем совершенное слияние больше для нормального типа кожи подойдет и будет лучше держаться
134,0,покрытие этого тонирующего крема недостаточно естественное и выравнивающее он не скрывает недостатки кожи а наоборот подчеркивает их делая их более оставляет на коже липкое и неприятное ощущение он не впитывается полностью и оставляет слой который чувствуется на лице в течение всего эффект крема незаметен он не придает коже здоровый и свежий вид как было обещано вместо этого кожа выглядит серой и имеет неприятный запах который остается на коже в течение длительного времени
138,0,заказала по интернету о чем в итоге пожалела цена была заманчивой относительно других брендов решила приобрести такие продукты нужно покупать только в магазине изначально опробовав на не нравится в нем ничего начиная с текстуры как маска не впитывается комкается кусками очень трудно наносится и цвет просто ужасный сильно старит лет на точно с каким то желтым оттенком эффект противоположный желаемому если кожа проблемная про него вообще можно забыть шанс намазать в случае если набухать основу под макияж базу то есть кожу нужно основательно подготовить и только поможет скрыть пятна цвет но заметьте при этом если прыщи толком не помогает да и придание желтого оттенка так себе смотрите хак наносить очень тонким слоем по капелюсечке тогда есть шансы на приличный мне продукт не зашел упаковка не на работу в косметичке вроде бы не сжат но постоянно подтекает достоинств я не нашла не соответствует своей цене
169,0,всем доброго времени суток я не планировала писать вот так сразу отзыв на этот крем но впечатления захлестнули меня с головой вкратце предыдущая версия этого крема у меня была в оттенке фарфоровый не помню по какой именно причине я отказалась от него скорее всего из либо цвет желтил либо кожу тут чёрт меня дернул крем обновили обещаний красивых надавали и вот заветный тюбик у меня в руках чуть забегу вперёд я совершила фатальные не тестила цвет именно на запястье не тестила цвет спокойно без спешки на выходных всего сейчас в линейке оттенков как я поняла по свотчам самые светлые это и как я поняла из отзывов более холодный хоть и оба этих тона идут с пометкой соответственно я купила на свотчах в магазине вёл себя достойно купила в рив гош за рублей фото тюбика номер фото тюбика номер обещают крутое матирование и классное покрытие часа это вам не утро буднего дня я сажусь у зеркала наношу на лицо крем начинаю тушевать его влажным спонжем по лицу распределяется хорошо однако понимаю что не то на смеси солнечного света и света от лампы не очень понятно я иду в ванну помыть спонж и вижу вот это первая реакция что за хрень до выхода из дома оставалось не так много поэтому я наивно предположила что тушевка до шеи мне поможет спойлер нет жирафчик без комментариев мне кажется что это полное и потрясающее фиаско опоздала на работу потому что отчаянно пыталась его стереть а он не стирался и высветлить было нечем а так пойти на работу я ну никак не могла после этих фото я сделала ещё и свотч на руке который выполнен при солнечном свете что ж что я успела понять за минут нахождения тонального у меня на лице крем хорошо распределяется спонжем у крема хорошая кроющая способность он действительно матовый но конечно же для меня это всё меркнет мне всегда казалось что все белоснежки это рыженькие девчонки просто рыжие натуральные или же с веснушками или черноволосые с цветотипом зима хотя у меня есть одна коллега она рыжая без веснушек и она меня темнее мне казалось что я просто светлокожая видимо не вот такой тональный крем очень хорошо что беленькие девочки пока в линейке оттенков нам тут ловить ему звезды хотя бы за те минут но оттенка рекомендовать не прикреплю ещё фото они сделаны в искусственном освещении моя камера в электрическом освещении очень сглаживает цвета и как я ни пыталась передать в полной мере цветовой нюанс на фото не так впечатляюще выглядит на двух крайних фото наложила чуть фильтр и именно эти фото больше похоже на то что я видела вживую здесь ещё выглядит всё очень достойно только растушевала уже видно разницу в цвете но она не выглядит критичной вот ненавязчиво вылезает желтинка в обещанном холодном подтоне а теперь запястье сразу надо было мазать туда блин при нанесении снова всё очень прилично здесь ещё держитсявот на этом фото видно патовость ситуации и то повторюсь всю разницу моя камера ловить не захотела в реальности цвет больше похож на эти фото с фильтром что ж обидно видимо не зря я перешла на минеральные пудры у пудр всё же больше шансов найти светлое всем хорошего настроения и тональных средств в цвет
174,0,здравствуйте я человек лояльный в моём профиле редко можно увидеть оценку в одну звезду я обычно тщательно выбираю средства читаю отзывы даже средство мне не нравится я нахожу в нём хорошее пробую его и так и сяк и в конечном итоге нахожу к нему подход но только не с этим тональным кремом который полетел в мусорное ведро через два раза не знакома с брендом но часто смотрела на стенд с этой косметикой в резко в один прекрасный день у меня заканчивается тональный крем а так как я была в гостях у мамы в другом городе и кроме улыбки радуги и тут ничего нет я отправилась в самый ближайший магнит рядом с домом я решила обратиться за помощью к консультанту и она сразу же протянула мне этот тональный крем сказав что их постоянная покупательница его просто обожает вообще расхваливали мне его а я повелась общие сведения место покупки магнит косметикс цена рублей за мл производитель производителя наша эффективная выравнивающая тональная основа прошла серьезные испытания фотосъёмкой в семи разных режимах освещения с вспышкой и без с ней вы будете выглядеть безупречно перед камерой всегда особая матирующая формула со светоотражающими частицами предотвращает появление световых бликов на фото вам даже не придётся использовать фильтр гибкие полимеры обеспечивают пластичность тональной основе и легкую растушевку создавая безупречный тон не уступая комфорту продукт не содержит компонентов животного происхождения и не тестировался на животных внешний вид о да тональный крем меня подкупил своим внешним видом стеклянные тяжеленький флакончик который так лаконично выглядит и станет украшением любой полочки вся информация предоставлена на английском языке и только на наклейке которая расположена на крышке есть пару фраз на русском языке мне нужен был именно матирующий крем и производитель на видном месте это указывает придя домой я попыталась открыть крышку привычным способом но она не поддалась я ей начала крутить и тут я прям удивилась у меня в руках оказалась мягкая силиконовая лопаточка для нанесения крема честно говоря я первый раз вижу подобное в тональном креме забегая вперёд скажу что ей пользоваться удобно наверное это единственный плюс в этом креме оттенок ароматтональный крем очень жидкий прям вода текстура лёгкая и водянистая абсолютно не плотная однородная думаю для этого производитель и придумал лопаточку но даже когда только открываешь крем средство тут же начинает капать с тонального крема оттенка по тестеру в магазине я выбрала оттенок в магазине он мне показался самый подходящий дома я его рассмотрела получше это теплый бежевый оттенок темноватый для белоснежек точно не подойдёт даже мне темноват плюс на лице он ещё немного окисляется и отдает в желтоватый провал но самый ужас для меня это запах я не знаю каким чудом тестеры в магазине не пахнут возможно выветрились но тональный крем ужасно воняет спиртом это настолько едкий сильный режущий глаза запах что когда я первый раз открыла флакон запах спирта распространился просто по всей комнате исходные данныежирная проблемная кожа со всеми вытекающими я просила подобрать мне матирующий крем с плотным покрытием мои впечатления от тонального крема первым делом я полезла на сайт чтобы почитать отзывы и ужаснулась рейтингу и отзывам признаться было страшно наносить всё это на кожу но я рискнула дала я крему два попытки да и то на второй раз я его побежала смывать рассказываю про свой тихий ужас наносить крем в принципе удобно благодаря лопаточки но нужно действовать быстро тональный моментально начинает с неё при распределении крема я поняла что происходит не то тональный крем просто отвратительно распределяется по коже он полосит плешивит тянет кожу и тактильно под подушечками пальцев ощущается сухость и катышки ощущение что я распределяю не тональный крем а сухое тональный крем ужасно ложится на кожу не равномерно да он перекрывает воспаления черные точки но какой ценой тональный подчёркивает поры текстуру кожи морщинки но то что я увидела насколько он подчеркнул шелушения привело меня в шок на чистой коже я не заметила у себя шелушений и было явное ощущение того что крем дико сушит кожу её стягивает даже визуально кожа становится старой и не опрятной этот ужас не перекроет пудра да и самый яркий и отвлекающий макияж не сделает менее броским то что я вижу в зеркало крем явно подчеркнул всё что мог все изъяны и добавил ещё матовый прям наглухо даже настолько что лицо выглядит как маска покрытая шелушениями тон окисляется со временем на лице и даёт не здоровый желтоватый оттенок кожу сушит её стягивает она молит о пощаде в первый раз я проходила с кремом около двух часов стал появляется жирный блеск тон не сползал но он ещё хуже стал подчёркивать поры да что уж говорить даже в общем виде видно как он отвратительно смотрится на коже выходить в таком виде в люди идти на работу ни в коем случае очистить лицо от крема тоже задачка да его можно убрать любой мицеллярной водой но нужно прям это тот самый тональный крем для серьёзно это просто самое кошмарное что довелось мне попробовать я лучше пойду возьму бюджетный тональник от или пусть я и не получу заветного эффекта фотошопа но они не сделают мою кожу ещё хуже даже визуально тонального крема флакон с удобной лопаточкой тонального крема цена для такого ужасного качества явно завышена очень жидкий кошмарно воняет спиртом отвратительно ложится на кожу плешивит сложно распределяется поры шелушения абсолютно все изъяны кожи да он чуток прикрывает воспаления но это его не спасает вообще окисляется стягивает кожу сложновато удалить с кожи вывод это отвратительно самый худший тональный крем который я пробовала жалко ставить даже одну звезду не рекомендую пожалейте свою кожу и бюджет за внимание к отзыву настя
177,0,всем привет сегодня расскажу историю моей дружбы с тональным кремом от совершенный тон началась она давно несколько лет назад и закончилась на печальной у меня довольно сухая пользоваться пудрой вообще не вариант поэтому естественно искала тональный крем чтоб прям такой жирненький кожа бледная цвет крема тоже подобрать проблемно с одной стороны не хочется быть как бледная поганка а с другой не хочется эффекта маски мой выбор пал на тональный крем совершенный крема как указано на упаковке французская компания а это заявление на качество состав начинается с воды кроме многих других непонятных ингредиентов присутствует гиалуроновая кислота и витамин производитель обещает что тональный крем идеально подстраивается к малейшим особенностям цвета кожи создавая безупречный ровный и естественный тон а также питает и увлажняет кожу делает ее гладкой и свежей спойлер не всем обещаниям надо верить мл что при каждодневном использовании хватает примерно на я купила себе тон слоновая кость цвет показался мне слишком светлый поэтому на летний период с учетом загара приобрела себе тон при естественном освещении при искусственном освещениитеперь по поводу самого крема консистенция довольно жидкая однако необходимо подготовить кожу хорошо ее увлажнить при нанесении на неподготовленную кожу крем подчеркивает явно шелушение и морщинки нельзя использовать на кожу под глазами темные круги не перекроет а морщинки только по поводу обещаний производителя идеально подстраивается к малейшим особенностям цвета кожи создает безупречный ровный и естественный тон не и увлажняет кожу делает ее гладкой и свежей подходит для всех типов кожи цвет не плохой он действительно освежает лицо придает коже более теплый цвет но этот крем определенно не подходит людям с сухой кожей он способен подчеркнуть все шелушения и неровности на рекомендую использовать на ночь недорогое но эффективное средство с витамином ваша кожа преобразится после нескольких рекомендую тональный крем подходящий любой этот корейский вв крем создает эффект фотошопа на это проверенное средство поможет избавиться от потрясающая тональная сыворотка от известного производителя прекрасно увлажняет этот на основе фруктовых кислот устраняет шелушения выравнивает тон кожи и просто нереально вкусно бюджетная тушь объем и удлинение обеспечивает эффект накладных ресниц
